,Номер,Контрагент,Подразделение,Описание,Часы,Оценка,Комментарии
20,БПФР-014815,БСТ ООО,Отдел автоматизации ПУ и ОУ,Закрытие заявок в Jira. Сбор отчетности по закрытию года 2024. ,144.44,8,"Задание недостаточно детализировано. Нужно указать конкретные шаги и результаты, которых ожидают от выполнения работы. Например: 

**Шаг 1: Закрытие всех открытых заявок в Jira до определённой даты.**  
- Перечень открытых заявок.  
- Инструкции по их закрытию.  
- Проверка качества выполненных задач.

**Шаг 2: Подготовка и сбор отчетности по закрытию года 2024.**  
- Определение перечня необходимых данных.  
- Формирование отчетов.  
- Предоставление отчета руководителю.

Количество часов должно соответствовать объему работ."
21,БПФР-014895,ЗАВОДОУКОВСКИЙ МАШЗАВОД АО,Отдел автоматизации БУ и УУ,"Инициатор: Харланович Наталия Владимировна
Задание: Работы в части нормализации номенклатуры и автоматизации закупок",16.5,8,"Задание требует уточнения. Необходимо конкретизировать работы, связанные с правильностью формирования налога на прибыль, а также уточнить детализацию по часам. Например:

**Текущее состояние:**
- Тема задания: Правильность формирования налога на прибыль в бухгалтерском и налоговом учете.
- Подразделение: Отдел автоматизации БУ и УУ.
- Инициатор: Харланович Наталия Владимировна.
- Описание задачи: Нормализация номенклатуры и автоматизация закупок.
- Часы: 16.5.
- **Детализация задач:**
  1. Анализ текущих процессов учета налога на прибыль.
  2. Разработка рекомендаций по оптимизации учетных процедур.
  3. Автоматизация расчетов налога на прибыль в соответствии с требованиями законодательства.
  4. Проверка корректности отражения операций в бухгалтерской отчетности.
  5. Оптимизация налоговых регистров.

Это позволит более точно оценить объем и сложность задачи."
22,БПФР-014692,ТЕХНО-ЦЕНТР ООО,Отдел автоматизации БУ и УУ,Необходима помощь в корректировке регистров по страховым взносам и НДФЛ,5.0,8,"Задание недостаточно детализировано. Необходимо указать конкретные регистры, которые требуют корректировки, и шаги, которые нужно предпринять для этого. Также следует уточнить, какие расчеты необходимо пересмотреть и почему."
23,БПФР-014714,ТСМ АО,Отдел автоматизации ЗУП,"Инициатор: Собольникова Анна Сергеевна 
(7-3456-25-30-90 доб. 121)
Задание: Не выделяется РКСН с начислений, в операции учета НДФЛ присвоить подразделение
Консультация по НДФЛ",0.5,8,"Задание содержит недостаточно информации для выполнения. Необходимо уточнить следующие моменты:

1. Что такое РКСН и почему его необходимо выделять?
2. Почему важно присвоить подразделение в операции учета НДФЛ?
3. Какие конкретные шаги нужно предпринять для решения этих задач?

В текущем виде сложно оценить объем работы и предложить точные рекомендации."
24,БПФР-014715,"АНО ДПО ""ЦПП""",Отдел автоматизации ЗУП,"Инициатор: Шаламова Любовь Викторовна
Задание: Задвоение НДФЛ, вычетов в расчетных листках",0.75,8,"**Описание задачи:**  
Задвоение НДФЛ и вычетов в расчетных листках. Необходимо проверить правильность расчета НДФЛ и корректность применения вычетов.  

**Работы:**  
- Проверить настройки параметров учета в 1С.
- Проанализировать расчет НДФЛ в типовых операциях.
- Сверка с данными бухгалтерского учета (если необходимо).
- Корректировка ошибок в случае их обнаружения."
25,БПФР-014711,ДИО-КОНСАЛТ ООО,Отдел автоматизации ЗУП,Ошибка при отправке  отчета ЕФС 1 подраздел 1.1,1.0,1,"Задание недостаточно конкретно. Необходимо уточнить, какая именно ошибка возникла при отправке отчета и какие действия требуется предпринять для ее устранения."
26,БПФР-014712,ПУРГАЗ АО,Отдел автоматизации ЗУП,"Инициатор: Гульчак Ольга Николаевна
Некорректно считает доплату за совмещение должностей по Бедрицкой Н.О.",0.25,1,"Задание сотруднику требует уточнения:

1. **Некорректно считает доплату за совмещение должностей по Бедрицкой Н.О.** – необходимо проверить правильность расчета доплаты за совмещение должностей для Бедрицкой Н.О.
  
2. **Количество часов на выполнение: 0.25 часа** – это очень мало времени для выполнения такой задачи. Рекомендуется увеличить время или уточнить детали задачи.

3. **Содержание работы** – здесь следует подробно указать, что именно нужно сделать (например, проверить формулы расчета, провести сверку с нормативными документами).

В текущем виде задача недостаточно конкретизирована."
27,БПФР-014700,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ПУ и ОУ,"Тикет №КЖ000000133
Инициатор: Каштан Анна Тагировна
Дороботки по счету 71",8.5,8,"Задание сотруднику:

**Тикет №КЖ000000133** – Доработка по счету 71.
**Отдел автоматизации ПУ и ОУ** – подразделение, выполняющее задачу.
**Количество часов:** 8.5 – указано верно.
**Описание работ:** Требуется провести доработку учета по счету 71. Необходимо уточнить детали и обоснование выполненных операций. Проверить правильность отражения расходов в бухгалтерском и налоговом учете.

Возможно, стоит уточнить объем и содержание доработки, чтобы избежать неопределенности."
28,БПФР-014597,АЛЬКОР ЗАО МПКФ,Отдел автоматизации ЗУП,"Инициатор: Чикишева Светлана Сергеевна (8-904-492-54-22)

Задание: 
1. Некорректно считает НДФЛ по сотрудникам: Велижанин Иван Николаевич, Алеев Альберт Файзиевич, Сидоров Александр Владимирович, Туманов Сергей Владимирович и в ведомость на выплату некорректно подтягивает сумму НДФЛ.
2. Некорректно считает премию за выполнение плана по Филиппову Эдуарду Алексеевичу",1.75,8,"Задание требует доработки. В текущем виде недостаточно информации для понимания сути проблемы и необходимых действий. Вот пример улучшения:

**Задание сотруднику:**

**Контрагент:** Не указан
**Подразделение:** Отдел автоматизации ЗУП
**Описание:** Тикет №__
**Инициатор:** Чикишева Светлана Сергеевна (8-904-492-54-22)

**Задание:**
1. **Проблема:** В расчете НДФЛ по сотрудникам Велижанин Иван Николаевич, Алеев Альберт Файзиевич, Сидоров Александр Владимирович происходит ошибка, и неверная сумма НДФЛ отображается в ведомости на выплату.
   - **Что проверить:** Правильность настройки ставок НДФЛ и удержаний.
   - **Действия:** Проверить настройки налогов и удержаний в карточке сотрудников.
   
2. **Проблема:** Премия за выполнение плана по Филиппову Эдуарду Алексеевичу рассчитывается неправильно.
   - **Что проверить:** Настройку формулы расчета премии, корректность заполнения данных о выполнении плана.
   - **Действия:** Проверить формулу расчета премии и соответствие фактических данных плановым показателям.

3. **Объем работы:** 1.75 часа.
   - **Описание работ:** Необходимо проверить настройки налогов и удержаний, формулу расчета премии, и обновить данные по выполнению плана."
29,БПФР-014702,Чащилов Андрей Петрович ИП,Отдел автоматизации ПУ и ОУ,Установка драйвера для ККТ ШТРИХ-М версии 5.17.1019,0.5,10,"Задача должна быть описана более подробно. Например: 

**Задание сотруднику:**

**Название подразделения:** Отдел автоматизации ПУ и ОУ  
**Тема задания:** Проблема с ККТ ШТРИХ-М  
**Описание задачи:** Установить драйвер для ККТ ШТРИХ-М версии 5.17.1019.  
**Количество часов на выполнение:** 0.5  
**Описание работ:**  
1. Скачать последнюю версию драйвера с официального сайта производителя.  
2. Запустить установочный файл и следовать инструкциям мастера установки.  
3. Перезагрузить компьютер после завершения установки.  
4. Проверить работоспособность кассового аппарата."
30,БПФР-014703,ДИО-КОНСАЛТ ООО,Отдел разработки,"1. Доработка расширения ""Анкета компетенций""
2. Перенос доработок на рабочую базу: расширения ""Менеджер паролей"", ""Анкета компетенций""
3. Консультирование по вопросам, связанным с внутренними задачами и написанием диплома
4. Отражение ЗП за январь
5. Доработка расширения ""Занятость сотрудников""
6. ЗУП: неверный банк в зарплатных проектах, документах и т. д.
7. Ошибка при записи контактных лиц: анализ данных, исправление данных по контактным лицам",20.0,8,"Задание сотруднику требует уточнения и детализации. Вот несколько предложений для улучшения структуры:

### Пример улучшенного задания:

**Тема: Внутренние задачи**  
**Подразделение: Отдел разработки**

1. **Доработка расширения ""Анкета компетенций"":**  
   - Описание: Добавить новые поля в анкету компетенций, проверить их отображение и валидацию.  
   - Часы: 5  
   
2. **Перенос доработок на рабочую базу:**  
   - Расширения: ""Менеджер паролей"", ""Анкета компетенций"".  
   - Описание: Скопировать все изменения с тестовой базы на рабочую, обновить ссылки и зависимости.  
   - Часы: 5  

3. **Консультирование по вопросам, связанным с внутренними задачами и написанием диплома:**  
   - Описание: Предоставить консультации по запросам сотрудников, касающимся внутренних задач и написания дипломов.  
   - Часы: 3  

4. **Отражение ЗП за январь:**  
   - Описание: Провести полный расчет заработной платы за январь месяц, включая все необходимые удержания и выплаты.  
   - Часы: 8  

5. **Доработка расширения ""Занятость сотрудников"":**  
   - Описание: Реализовать функционал, позволяющий учитывать фактическую занятость сотрудников.  
   - Часы: 7  

6. **ЗУП: неверный банк в зарплатных проектах, документах и т.д.:**  
   - Описание: Найти и исправить ошибки в настройках банковских счетов для зарплатных проектов, а также в соответствующих документах.  
   - Часы: 5  

7. **Ошибка при записи контактных лиц:**  
   - Описание: Анализ данных и исправление ошибок в записях о контактных лицах.  
   - Часы: 5  

---

Таким образом, каждое задание имеет четкое описание, требуемые часы и конкретное направление работы."
31,БПФР-014705,ПУРГАЗ АО,Отдел автоматизации ЗУП,"Тикет №ПЗ000000288
Инициатор: Гульчак Ольга Николаевна
Сведения для отражения зарплаты",4.0,10,"Задание недостаточно детализировано. Необходимо уточнить, какие именно сведения для отражения зарплаты требуются, какой объем работы предполагается, и какие конкретные действия должны быть выполнены. Например:

**Задание:**

Тикет №ПЗ000000288  
Отдел автоматизации ЗУП  
Сведения для отражения зарплаты  
Количество часов: 4  
Описание задачи: Получить и проверить данные для отражения заработной платы за текущий месяц. Подготовить отчет с детализацией по сотрудникам и видам начислений/удержаний.  
**Работа:**  
1. Собрать необходимые данные из систем учета зарплаты.
2. Провести проверку данных на наличие ошибок и несоответствий.
3. Подготовить отчет в формате Excel.
4. Передать отчет инициатору задания."
32,БПФР-014706,ТСМ АО,Отдел автоматизации БУ и УУ,"Инициатор: Соколовская Алевтина Николаевна
Консультация по вопросам закрытие 20.01 счета, проведения корректировки долга по 62.02счету , отражения операций по НДС с авансов полученных ",2.5,7,"**Комментарий к заданию:**

Задание недостаточно детализировано. В описании задачи следует уточнить, какие именно вопросы по закрытию 20.01 счета и отражению операций по НДС с авансов полученных необходимо рассмотреть. Также желательно указать конкретные шаги или этапы работы, чтобы сотрудник понимал, что именно ему предстоит сделать. Например, какие проводки должны быть сделаны, как скорректировать задолженность по счету 62.02 и т.д."
33,БПФР-014710,ОЙЛ МАРКЕТ ООО,Отдел автоматизации ПУ и ОУ,Обновление конфигурации Управление торговлей,1.0,10,"Задание недостаточно детализировано. Необходимо указать конкретные шаги или действия, которые сотрудник должен выполнить при обновлении конфигурации. Например: 

- Скачать актуальную версию обновления с сайта поддержки.
- Проанализировать изменения в новой версии.
- Обновить конфигурацию в тестовой базе данных.
- Провести тестирование новых функций и исправлений.
- Применить необходимые изменения в рабочей базе данных.

Также стоит уточнить, требуется ли подготовка к обновлению или дополнительные проверки после его выполнения."
34,БПФР-014713,СИБИТЕК АО,Отдел автоматизации ЗУП,"Инициатор: Акишева Елена Евгеньевна 
Разбивка оплаты по среднему на основную, РК и СН с помощью ""Помощника перехода на новые начисления оплат по среднему""",0.25,8,"Задание недостаточно детализировано. Необходимо уточнить следующие моменты:

1. **Что именно требуется сделать с разбивкой оплаты по среднему?** Например, какова цель этого процесса (переход на новую систему расчетов, оптимизация текущих процессов и т.д.)?
2. **Какие конкретные шаги должны быть выполнены в рамках этой задачи?** Нужно ли создать новый документ, внести изменения в существующий функционал или провести анализ данных?
3. **Нужно ли подготовить отчетность или документы по результатам работы?** Если да, то какие именно?
4. **Как следует оформить результаты работы?** Должны ли они быть задокументированы в виде отчета или просто внесены в систему?

Без этих уточнений невозможно точно определить объем и сложность задачи."
35,БПФР-014886,БСТ ООО,Отдел автоматизации БУ и УУ,"Работа с пользователями Шахты ""Большевик"", Шахты ""Антоновская"", ПВВ",31.25,8,"Задание недостаточно детализировано. Необходимо уточнить, какие именно действия должны быть выполнены в отношении пользователей шахт ""Большевик"", ""Антоновская"" и ПВВ, и почему на это требуется 31.25 часа."
36,БПФР-014718,ИНЖЕНЕРНО-ТЕХНОЛОГИЧЕСКИЙ СЕРВИС ООО,Отдел автоматизации ЗУП,Проект по переходу из ЗУП 2.5 в ЗУП 3.1,81.29,10,"Задание недостаточно детализировано. Необходимо уточнить, какие конкретные шаги должны быть выполнены в рамках проекта перехода, и указать, какие аспекты необходимо проверить или настроить в системе ЗУП 3.1."
37,БПФР-014719,ПУРГАЗ АО,Отдел автоматизации ЗУП,"Инициатор: Гульчак Ольга Николаевна
Добавить возможность вывода в отчет ""Расчетный листок"" нормы времени сотрудника по часам",5.0,8,"Задание сформулировано кратко, но требует уточнения:

**Что конкретно нужно сделать?**
- Нужно добавить функционал для вывода нормы времени сотрудника в отчет ""Расчетный листок"".
- Какие поля или параметры должны быть учтены при расчете этой нормы?
- Какой период или условия должны быть указаны для вывода этой информации?
  
Пока недостаточно информации о том, что именно необходимо изменить в коде или какие данные нужно учитывать для выполнения этого запроса.

Рекомендую дополнить задание следующей информацией:
- Где хранится информация о норме времени сотрудника (например, в справочнике, таблице базы данных)?
- Как должна выглядеть норма времени в отчете (формат вывода, единицы измерения)?
- Есть ли дополнительные требования к выводу этой информации (фильтрация по отделам, периодам и т.д.)?

Без этих уточнений сложно оценить объем работы и предоставить точные рекомендации."
38,БПФР-014720,Агротехнический центр АО,Руководство,Тестирование и исправление закрытия затратных счетов.,10.0,1,"Задание требует уточнения: необходимо более подробно описать цель реорганизации, какие именно счета подлежат тестированию и исправлению, а также какова конечная цель после выполнения этих работ."
39,БПФР-014722,ИНЖЕНЕРНО-ТЕХНОЛОГИЧЕСКИЙ СЕРВИС ООО,Отдел автоматизации ЗУП,работы по проекту,80.5,7,"Замечания к заданию:

1. **Отсутствие конкретики**: В описании задачи указано только общее направление работы без детализации задач. Это затрудняет понимание объема и сложности работы.

2. **Неточность формулировки**: В графе ""работы по проекту"" указано ""80.5"", что может ввести в заблуждение относительно реального количества часов. Возможно, здесь подразумевается не целое число, а дробное?

3. **Избыточное время****: 80.5 часа на выполнение задачи, которая должна занимать несколько часов, кажется избыточным. Возможно, это ошибка или недоразумение с количеством часов.

Рекомендации:
- Детализировать описание задачи, чтобы было понятно, какие именно шаги необходимо выполнить.
- Уточнить количество часов, возможно, указать диапазон допустимых значений.
- Проанализировать необходимость такого большого количества времени для выполнения данной задачи."
