,Номер,Контрагент,Подразделение,Описание,Часы,Оценка,Комментарии
10,БПФР-014662,ДИО-КОНСАЛТ ООО,Отдел автоматизации БУ и УУ,"Создать документ содержащий информацию по обновлениям конфигураций ERP, Комплексная автоматизация 2, Бухгалтерия 3, Зарплата и управление персоналом 3, УТ 11, УНФ, ДО 3, Розница 3.",3.0,8,"Задание недостаточно детализировано. Необходимо указать конкретные обновления, которые нужно включить в документ, и добавить более подробное описание, чтобы сотрудник мог понять, что именно требуется."
11,БПФР-014663,АЛЬКОР ЗАО МПКФ,Отдел автоматизации БУ и УУ,Производственный процесс в УНФ,28.0,1,"**Описание задачи**: Производственный процесс в УНФ требует оптимизации и настройки под новые требования законодательства. Необходимо подробно описать текущие процессы и указать, какие именно участки требуют доработки. Также важно определить приоритетные направления работы и сроки выполнения.  

**Рекомендации по объему работ**: Поскольку задача связана с важными изменениями в производственном процессе, рекомендуется выделить достаточно времени на анализ, настройку и тестирование новых решений. Возможно, потребуется привлечение дополнительных ресурсов."
12,БПФР-014664,ДИО-КОНСАЛТ ООО,Отдел автоматизации ПУ и ОУ,Создание презентации по РПД ,1.0,1,"Задание представлено кратко, но требует уточнения. Вот что стоит добавить:

1. **Цель создания презентации**: Нужно уточнить, какая именно информация должна быть представлена в презентации и для какой аудитории она предназначена.
2. **Детализация задач**: Необходимо указать конкретные шаги, которые должны быть выполнены для достижения цели (например, сбор данных, оформление слайдов, структурирование информации).
3. **Срок выполнения**: Важно определить сроки сдачи готовой работы.
4. **Пользовательские требования**: Если есть какие-то особые пожелания со стороны заказчика (например, требования к дизайну, структуре, содержанию), их тоже нужно включить.
5. **Дополнительные ресурсы**: Если понадобятся дополнительные материалы или инструменты, это также следует отметить.

В текущем виде задача недостаточно детализирована, что может привести к недопониманию между исполнителем и заказчиком."
13,БПФР-014665,ДИО-КОНСАЛТ ООО,Отдел разработки,Доработка механизма тарифных групп,30.0,5,"Задание недостаточно детализировано. Включите конкретные шаги и требования к выполнению задачи, чтобы сотрудник мог понять, что именно нужно сделать. Например: 

**Задача:**  
Доработать механизм тарифных групп для контрагента ДИО-КОНСАЛТ ООО. Необходимо добавить новый тариф и пересчитать все тарифы за последние 6 месяцев.

**Шаги выполнения:**  
1. Изучить текущую структуру тарифных групп и правила их расчета.
2. Разработать новый тариф с учетом специфики работы контрагента.
3. Перенести данные о новых тарифах в базу данных.
4. Провести тестирование новой функциональности.
5. Подготовить отчет по результатам доработки.

**Время на выполнение:**  
30 часов."
14,БПФР-014666,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел разработки,"Тикеты №КЖ000000101, КЖ000000102, КЖ000000121, КЖ000000133, КЖ000000140

1. Тикет КЖ000000101: настройка интеграции для документа ""Поступление товаров и услуг"".
2. Тикет КЖ000000102: настройка интеграции для документа ""Перемещение товаров"".
3. Тикет КЖ000000121: синхронизация номенклатуры (из 1С: Бухгалтерия в 1С: Документооборот).
4. Тикет КЖ000000133: доработки по 71 счету.
5. Тикет КЖ000000140: исправление нумерации в документах ""Заявка на оплату"", ограничение возможности редактировать номера документов вручную.",60.25,8,"Замечания:
1. В описании задачи тикета КЖ000000140 отсутствует конкретика – нет указаний на то, какие именно документы нужно исправить, и какие ограничения ввести. Это необходимо уточнить.
2. Общее количество часов (60.25) кажется завышенным для выполнения всех задач. Рекомендуется разделить часы более равномерно между всеми тикетами."
15,БПФР-014667,ЭКСПЕРТ-КОНСАЛТИНГ ООО,Отдел разработки,"Аэрофлот:

1. Разработать обработку для загрузки данных из файлов Excel
2. Загрузка файлов в базу",115.0,8,"**Комментарий:**

В задании недостаточно информации о том, какие именно данные нужно загружать из файлов Excel и куда они должны быть загружены. Также не указано, какая база данных используется и какие требования к обработке данных предъявляются. Необходимо уточнить эти детали для более точного планирования работы.

**Рекомендации:**

1. Добавить описание процесса загрузки данных: какие таблицы/табличные части будут заполняться, какие поля должны быть заполнены и т.д.
2. Определить структуру базы данных, если она еще не определена.
3. Четко указать формат файлов Excel, с которыми предстоит работать.
4. Оценить объем данных, чтобы понять, сколько времени может занять процесс загрузки."
16,БПФР-014669,МОСТОСТРОЙ-11 АО,Отдел автоматизации ПУ и ОУ,"Консультации по ведению учета в программе (февраль 2025 г). 
Помощь в закрытии периодов. Консультации по настройке НУ.
Помощь в поиске и исправлении ошибок ведения учета в программе.",30.0,8,"Задание сотруднику требует уточнения и детализации. Вот пример правильного оформления:

**Название контрагента:** МОСТОСТРОЙ-11 АО  
**Подразделение:** Отдел автоматизации ПУ и ОУ  
**Описание задачи:**
   - Предоставить консультации по ведению учета в программе за февраль 2025 года.
   - Помочь с закрытием периодов.
   - Дать рекомендации по настройке налогового учета.
   - Провести поиск и исправление ошибок в ведении учета в программе.

**Количество часов:** 30

В этом случае задание понятно и выполнимо."
17,БПФР-014671,ИНЖЕНЕРНО-ТЕХНОЛОГИЧЕСКИЙ СЕРВИС ООО,Отдел автоматизации ЗУП,"Инициатор: ИТС
Задача: Проект",71.5,1,"Замечания по заданию:

1. **Недостаточно информации о задаче**: Описание проекта крайне краткое и не содержит конкретных задач, которые необходимо выполнить.
   
2. **Неточность в названии контрагента**: Название контрагента указано как ""ИНЖЕНЕРНО-ТЕХНОЛОГИЧЕСКИЙ СЕРВИС ООО"", однако в первом примере правильное написание было ""КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО"".

3. **Размер задачи не соответствует указанному времени**: 71.5 часа явно недостаточно для выполнения сложных технологических проектов. Обычно такие проекты требуют более детального планирования и распределения задач.

4. **Процент завершения задачи**: В задании отсутствует информация о текущем проценте выполнения задачи. Это важно для отслеживания прогресса.

Рекомендации:
- Подробно опишите проект с конкретными задачами и сроками их выполнения.
- Уточните, какие ресурсы необходимы для выполнения задания (например, программное обеспечение, доступ к данным).
- Регулярно обновляйте информацию о ходе выполнения задачи."
18,БПФР-014676,РЕГИОНАЛЬНАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ ООО,Отдел автоматизации ПУ и ОУ,Восстановление учета КУ и БУ по взаиморасчетам,4.0,1,"Задание недостаточно детализировано. Необходимо уточнить, какие конкретные действия должны быть выполнены для восстановления учета, и какие данные необходимо проверить. Например: 

- Какие периоды нужно охватить?
- Нужно ли пересчитать задолженности с контрагентами/подотчетными лицами?
- Нужна ли проверка на наличие ошибок в документах и их исправление?
- Есть ли необходимость в сверке данных с контрагентами?

Без этих деталей невозможно оценить объем работы и ее сложность."
19,БПФР-014678,КЕЖУЙ НЕФТЕГАЗОВЫЕ УСЛУГИ ООО,Отдел автоматизации ЗУП,"Тикет №КЖ000000132
Инициатор: Титаренко Виктория Сергеевна
Задвоение врегистрах НДФЛ по сотруднику,

Почему при начислении натурального дохода в виде подарка, нерезиденту ВКС начисляется налог 30 %, должен быть 13%.",0.25,8,"Замечание: В описании задачи недостаточно информации. Не указано, какой именно подарок был предоставлен, кто является получателем (резидент/нерезидент), и какие регистры НДФЛ необходимо проверить. 

Рекомендация: Подробно опишите контекст и действия, которые нужно предпринять для решения проблемы. Это поможет исполнителю более точно оценить объем работы и выполнить задачу правильно."
20,БПФР-014659,ЦЕНТР ВНЕДРЕНИЯ И СОПРОВОЖДЕНИЯ ООО,Руководство,"Обеспечить проведение разработки по заданиям Заказчика февраль 2025г.
BELVOSOPZ-135 Недостачи после перемещения
BELVOSOPZ-175 АРМ ДЗ
BELVOSLURV-1605 Отчет экономия",84.0,1,"Замечания:
1. **Описание задач**: Необходимо уточнить, что именно требуется сделать по каждому из заданий. Например, какие конкретные действия нужно предпринять для выполнения каждого пункта.
   
2. **Единицы измерения**: Проверьте правильность указания единиц измерения времени (часов). Обычно это часы или дни.

3. **Полнота информации**: Добавьте информацию о том, как эти задачи связаны с работой отдела и какие результаты ожидаются.

4. **Приоритизация**: Возможно, стоит указать приоритетность задач, чтобы сотрудники знали, какие из них требуют немедленного внимания.

Пример улучшения:

**Центр внедрения и сопровождения ООО**  
**Руководство** – Отдел автоматизации ЗУП  
**Обеспечить проведение разработки по заданиям Заказчика февраль 2025 г.**  
**BELVOSOPZ-135 Недостачи после перемещения**  
- Разработать и протестировать механизм учета недостач после перемещения товара между складами.  
- Часы: 20  

**BELVOSOPZ-175 АРМ ДЗ**  
- Внедрить автоматизированное рабочее место для расчета заработной платы.  
- Часы: 30  

**BELVOSLURV-1605 Отчет экономия**  
- Настроить отчет по экономии ресурсов на основе данных системы мониторинга.  
- Часы: 34  

Общее количество часов: 84"
21,БПФР-014680,"АНО ДПО ""ЦПП""",Отдел автоматизации ЗУП,"Инициатор: Шаламова Любовь Викторовна
Задание: Не правильно выделяется с выплат РК для расчета НДФЛ",0.5,8,"Замечания по заданию:

1. **Ясность и конкретика**: В описании задачи необходимо уточнить, что именно подразумевается под ""неправильным выделением РК"". Это может быть ошибка в расчете базы для НДФЛ, неправильное применение вычетов или другое.
   
2. **Детализация**: Важно указать, какой именно расчет должен быть проверен или выполнен (например, проверка правильности удержания НДФЛ с учетом выделения РК).

3. **Ресурсы**: Указать, какие именно ресурсы будут использованы (например, программное обеспечение, нормативные документы), чтобы сотрудник мог эффективно использовать время.

4. **Четкость формулировки**: Если задание требует выполнения определенной работы за указанное время, следует избегать двусмысленностей. Например, ""проверить и исправить ошибки"" оставляет слишком много пространства для интерпретации. Лучше четко обозначить, что именно нужно проверить и как это повлияет на результат.

Вот пример более четкого задания:

---

АНО ДПО ""ЦПП"" – название партнера для которого делается задание.
Отдел автоматизации ЗУП – название подразделения, которое будет выполнять задание.
Инициатор: Шаламова Любовь Викторовна
Задание: Проверить расчет НДФЛ с учетом выделения РК на компенсацию питания сотрудников. При необходимости внести исправления в программу.
Количество часов: 0.5

---

Это задание более конкретно и ясно, что позволяет сотруднику сразу понять задачу и необходимые шаги для её выполнения."
22,БПФР-014681,ПУРГАЗ АО,Отдел автоматизации БУ и УУ,"Тикет №ПЗ000000286
Инициатор: Зуйкова Марина Валерьевна
Формирование дополнительного листа книги продаж",1.0,1,"Задание сотруднику требует уточнения и детализации. Необходимо указать конкретные шаги и требования к выполнению задачи по формированию дополнительного листа книги продаж. Например:

- Опишите, какие данные нужно использовать для формирования дополнительного листа книги продаж.
- Нужно ли учитывать корректировки за прошлые периоды?
- Какие контрольные проверки необходимо провести после выполнения задачи?
- Есть ли особые требования к формату или структуре файла с результатом?

Без этих уточнений сотрудник может неправильно понять задачу или пропустить важные шаги."
23,БПФР-014682,СОГЛАСИЕ ООО,Отдел автоматизации БУ и УУ,"Разработка обработки для создания заявок на расход денежных средств по документу ""Отражение зарплаты в финансовом учете"" в конфигурации 1С:ERP Агропромышленный комплекс.",15.0,8,"Задачи должны быть описаны максимально подробно, чтобы сотрудники могли правильно оценить объем работы и сроки выполнения. В данном случае описание недостаточно информативно: **не указано, какие именно действия нужно выполнить в обработке** (например, какие данные будут использоваться, как обрабатываться и т.д.). Необходимо уточнить детали."
24,БПФР-014684,ДИО-КОНСАЛТ ООО,Отдел автоматизации ПУ и ОУ,,13.18,1,"Задание недостаточно детализировано. Необходимо уточнить описание задачи, указать, какие конкретные действия должны быть выполнены, и проверить корректность указанного количества часов."
25,БПФР-014685,ХАУС ГРУПП ООО,Отдел автоматизации ЗУП,"Олеся 8-961-204-58-27
При загрузке ЭЛН возникает ошибка 443",0.25,1,"Задача недостаточно детализирована. Необходимо уточнить:

1. Какие конкретные шаги нужно предпринять для решения ошибки 443?
2. Какие действия должны быть выполнены после решения ошибки?
3. Какие инструменты или ресурсы будут использоваться для выполнения задачи?"
26,БПФР-014686,ИНЖЕНЕРНО-ТЕХНОЛОГИЧЕСКИЙ СЕРВИС ООО,Отдел автоматизации ЗУП,Проект по переходу ИТС из ЗУП 2.5 в ЗУП 3.1 (Опытная эксплуатация),66.0,8,"Задание недостаточно детализировано. Необходимо указать, какие конкретные действия должны быть выполнены в рамках проекта, кто является инициатором, какие данные нужно проверить и какие результаты ожидаются."
27,БПФР-014687,ИНЖЕНЕРНО-ТЕХНОЛОГИЧЕСКИЙ СЕРВИС ООО,Отдел автоматизации ЗУП,"Проект по переходу из ЗУП 2.5 в 3.1 ННГГФ, ИТС. 
Проверка начислений, настройка начислений, исправление ошибок, проверка плановых начислений.",93.75,8,"Замечания:
1. В поле ""Название партнера"" указан ""Инженерно-технологический сервис"", но далее в тексте упоминается ""БСТ ООО"". Уточните правильное название партнера.
2. Описание задачи слишком короткое и не детализировано. Необходимо более четко указать, какие именно проверки и настройки нужно провести, какие ошибки исправить и какова цель настройки плановых начислений.
3. Количество часов (93.75) кажется необычно большим для такой задачи. Возможно, стоит уточнить объем работы и обосновать необходимое время."
28,БПФР-014815,БСТ ООО,Отдел автоматизации ПУ и ОУ,Закрытие заявок в Jira. Сбор отчетности по закрытию года 2024. ,144.44,5,"Замечания:
1. **Ясность описания**: В описании задачи отсутствует конкретика. Необходимо уточнить, какие именно действия нужно выполнить: сбор данных, формирование отчетов, анализ данных и т.д.
2. **Конкретизация сроков**: 144.44 часа – это слишком общее указание времени. Лучше указать точные часы или дни, необходимые для выполнения задачи.
3. **Документирование процесса**: Важно добавить информацию о том, какие результаты ожидаются после завершения работы.

Комментарий:
Для более эффективного выполнения задачи рекомендуется уточнить детализацию задач, разделить их на подзадачи с четкими временными рамками и результатами."
29,БПФР-014895,ЗАВОДОУКОВСКИЙ МАШЗАВОД АО,Отдел автоматизации БУ и УУ,"Инициатор: Харланович Наталия Владимировна
Задание: Работы в части нормализации номенклатуры и автоматизации закупок",16.5,8,"Замечания по заданию:

1. **Ясность названия контрагента**: В названии контрагента присутствуют ошибки (""Заводоуковский Машзавод АО"", вместо ""АО Заводоуковский машиностроительный завод"").
   
2. **Детализация задачи**: Описание задачи недостаточно детализировано. Необходимо уточнить, какие именно работы по нормализации номенклатуры и автоматизации закупок нужно выполнить.

3. **Соответствие количества часов объему работ**: Количество часов (16.5) кажется недостаточным для выполнения указанной задачи. Возможно, стоит пересмотреть оценку времени.

4. **Единицы измерения**: Время указано в часах, что может вызывать путаницу. Рекомендуется использовать стандартные единицы измерения времени, такие как дни или часы.

Пожалуйста, уточните детали задания и оцените время более точно."
30,БПФР-014688,Ярош Вадим Николаевич ИП,Отдел автоматизации ПУ и ОУ,Установка Крипто Про и переустановка ключа закрытого контейнера.,0.25,1,"Задание недостаточно детализировано. Необходимо указать, какой именно процесс установки и переустановки ключа должен быть выполнен, а также какие шаги должны быть предприняты. Например:

**Установка Крипто Про и переустановка ключа закрытого контейнера для сотрудника Иванова Ивана Ивановича.**
- Скачать дистрибутив КриптоПро CSP с официального сайта.
- Установить КриптоПро CSP на рабочую станцию.
- Перейти в раздел ""Сервис"" и удалить текущий закрытый контейнер ключа.
- Создать новый запрос на сертификат открытого ключа.
- Получить новый закрытый контейнер ключа.
- Импортировать новый закрытый контейнер ключа в хранилище сертификатов.
- Настроить права доступа к новому закрытому контейнеру ключа.

Общее время выполнения: **4 часа**."
31,БПФР-014690,ДИО-КОНСАЛТ ООО,Отдел автоматизации ПУ и ОУ,"Замена ССД диска, установка операционной системы windows 10. Установка драйвера ККТ, настройка ККТ в 1С. Установка платформы 1С. Установка рабочих приложений и активация лицензий microsoft office.",4.0,9,"Задание недостаточно детализировано. Необходимо указать конкретные шаги выполнения работы, чтобы сотрудник мог правильно оценить время и ресурсы. Например: 

- Подготовка оборудования (извлечение старого ССД диска, установка нового).
- Настройка BIOS для корректной загрузки с нового диска.
- Установка операционной системы Windows 10.
- Установка драйверов для ККТ (указать модель).
- Настройка подключения ККТ к 1С.
- Установка платформы 1С.
- Установка и активация офисных приложений Microsoft Office.

Количество часов также требует уточнения, так как без четкого плана работ невозможно точно определить время."
32,БПФР-014691,СТ И Т ООО,Отдел автоматизации ЗУП,"С помощью «Помощника перехода на новые начисления оплат по среднему» в начислениях Отпуск, Доп. отпуск., Больничный выделить долю районного коэффициента и серверной надбавки ",0.5,8,"Задание сформулировано некорректно. Не указаны конкретные шаги, что именно нужно сделать с помощью помощника перехода на новые начисления. Необходимо уточнить, какие именно данные нужно выделить, какой результат ожидается и как это связано с долей районного коэффициента и северной надбавки."
